ch,x,y,z,int
3,514,1416,0,37469
3,1101,399,0,38917
3,1534,1306,0,37433
3,839,1027,0,27016
3,2018,1902,0,29012
3,648,374,0,35449
3,404,1391,0,33377
3,1471,1513,0,29283
3,1673,1693,0,33888
3,585,532,0,33689
3,488,1605,0,31320
3,171,514,0,23504
3,2009,1602,0,22964
3,663,274,0,24786
3,2026,1834,0,26545
3,752,470,0,33588
3,118,1162,0,24924
3,1974,1881,0,28701
3,1864,1713,0,28947
3,553,1779,0,25721
3,508,1771,0,25124
3,474,1874,0,23395
3,1768,19,0,26902
3,1699,1326,0,26782
3,834,42,0,23438
3,556,415,0,27567
3,1070,691,0,25328
3,2038,519,0,27560
3,294,1462,0,22754
3,886,184,0,20845
3,1762,687,0,27208
3,1522,1743,0,22259
3,494,397,0,24345
3,487,1675,0,24142
3,534,1783,0,23037
3,109,786,0,22501
3,2006,380,0,23855
3,841,1012,0,19774
3,131,1352,0,21427
3,452,475,0,21866
3,2016,1972,0,17190
3,1676,1029,0,20134
3,497,1696,0,21655
3,534,40,0,22338
3,810,2011,0,20970
3,1240,255,0,19308
3,225,1160,0,20966
3,497,559,0,20063
3,227,1855,0,16830
3,378,783,0,19392
3,164,1612,0,17213
3,700,133,0,16126
3,1654,103,0,18937
3,1879,1807,0,16961
3,1848,1756,0,17658
3,100,1404,0,17709
3,222,1207,0,20012
3,445,414,0,15166
3,620,698,0,15871
3,1576,1597,0,16033
3,1730,421,0,14753
3,1117,522,0,15396
3,1379,977,0,16664
3,663,599,0,15033
3,1996,1888,0,16526
3,522,1640,0,15462
3,1686,821,0,14078
3,477,1920,0,14269
3,297,1525,0,16676
3,1882,810,0,13827
3,1698,1576,0,12509
3,779,1009,0,13494
3,662,1033,0,12671
3,338,1831,0,12153
3,31,1080,0,65535
3,1899,881,0,12293
3,88,322,0,11205
3,391,1517,0,14885
3,1850,859,0,12560
3,1717,1003,0,11936
3,451,1972,0,11576
3,1134,1972,0,12043
3,1992,1145,0,11470
3,406,1776,0,12871
3,977,310,0,12004
3,1021,713,0,11213
3,412,1964,0,11278
3,1293,1181,0,10797
3,509,1930,0,12054
3,483,334,0,11783
3,845,1675,0,10384
3,596,1725,0,10092
3,100,1564,0,9573
3,1959,1560,0,9839
3,54,1684,0,8472
3,1002,1924,0,8713
3,624,1982,0,8838
3,8,1350,0,8829
3,965,1,0,12100
3,995,1369,0,9019
3,1870,1892,0,8561
3,1376,869,0,8751
3,196,700,0,8400
3,1910,280,0,8337
3,168,159,0,8551
3,916,981,1,65535
3,1564,1716,1,65535
3,217,479,1,65535
3,1176,1336,1,65535
3,1429,1519,1,65535
3,623,612,1,65535
3,335,1852,1,65535
3,612,1265,1,65535
3,986,992,1,65535
3,1560,102,1,65535
3,388,1166,1,65535
3,968,1346,1,65535
3,948,777,1,65535
3,329,1239,1,65535
3,1794,831,1,65535
3,2040,1817,1,65535
3,1882,1724,1,65535
3,1913,1739,1,65535
3,723,768,1,65535
3,1506,1488,1,65535
3,1868,1185,1,65535
3,839,1027,1,65535
3,1066,1606,1,62995
3,1657,1573,1,65535
3,1834,569,1,64970
3,1609,1046,1,65535
3,2014,1353,1,65535
3,2009,1602,1,53756
3,484,976,1,65535
3,1216,2041,1,65535
3,1637,1887,1,65535
3,1168,1527,1,63493
3,1973,1802,1,65535
3,877,927,1,48405
3,118,1162,1,65535
3,171,514,1,61645
3,930,1068,1,65535
3,567,1595,1,62796
3,1116,1302,1,56824
