gene,Hyb1,Hyb2,Hyb3,Hyb4
fake124,1,10,3,14
fake125,1,10,4,15
fake126,1,10,5,16
fake127,1,10,6,1
fake128,1,10,7,2
fake129,1,10,8,3
fake130,1,10,9,4
fake131,1,10,10,5
fake132,1,10,11,6
fake133,1,10,12,7
fake134,1,10,14,9
fake135,1,10,15,10
fake136,1,10,16,11
fake137,1,11,1,13
fake138,1,11,2,14
fake139,1,11,3,15
fake140,1,11,4,16
fake141,1,11,5,1
fake142,1,11,6,2
fake143,1,11,7,3
fake144,1,11,9,5
fake145,1,11,10,6
fake146,1,11,11,7
fake147,1,11,12,8
fake148,1,11,14,10
fake149,1,11,15,11
fake150,1,11,16,12
fake151,1,12,1,14
fake152,1,12,2,15
fake153,1,12,3,16
fake154,1,12,4,1
fake155,1,12,6,3
fake156,1,12,7,4
fake157,1,12,8,5
fake158,1,12,9,6
fake159,1,12,10,7
fake160,1,12,13,10
fake161,1,12,14,11
fake162,1,12,15,12
fake163,1,12,16,13
fake164,1,13,1,15
fake165,1,13,2,16
fake166,1,13,3,1
fake167,1,13,4,2
fake168,1,13,5,3
fake169,1,13,6,4
fake170,1,13,7,5
fake171,1,13,8,6
fake172,1,13,9,7
fake173,1,13,10,8
fake174,1,13,11,9
fake175,1,13,12,10
fake176,1,13,13,11
fake177,1,13,14,12
fake178,1,13,15,13
fake179,1,13,16,14
fake180,1,14,1,16
fake181,1,14,3,2
fake182,1,14,4,3
fake183,1,14,5,4
fake184,1,14,6,5
fake185,1,14,7,6
fake186,1,14,8,7
fake187,1,14,9,8
fake188,1,14,10,9
fake189,1,14,11,10
fake190,1,14,12,11
fake191,1,14,13,12
fake192,1,14,14,13
fake193,1,14,15,14
fake194,1,14,16,15
fake195,1,15,1,1
fake196,1,15,2,2
fake197,1,15,3,3
fake198,1,15,4,4
fake199,1,15,5,5
fake200,1,15,6,6
fake201,1,15,7,7
fake202,1,15,8,8
fake203,1,15,9,9
fake204,1,15,10,10
fake205,1,15,11,11
fake206,1,15,12,12
fake207,1,15,13,13
fake208,1,15,15,15
fake209,1,15,16,16
fake210,1,16,2,3
fake211,1,16,3,4
fake212,1,16,4,5
fake213,1,16,5,6
fake214,1,16,6,7
fake215,1,16,8,9
fake216,1,16,9,10
fake217,1,16,11,12
fake218,1,16,12,13
fake219,1,16,13,14
fake220,1,16,15,16
fake221,1,16,16,1
fake222,2,1,1,4
fake223,2,1,2,5
fake224,2,1,3,6
fake225,2,1,4,7
fake226,2,1,5,8
fake227,2,1,6,9
fake228,2,1,7,10
fake229,2,1,8,11
fake230,2,1,9,12
fake231,2,1,10,13
fake232,2,1,11,14
fake233,2,1,12,15
fake234,2,1,13,16
fake235,2,1,14,1
fake236,2,1,15,2
fake237,2,1,16,3
fake238,2,2,1,5
fake239,2,2,2,6
fake240,2,2,4,8
fake241,2,2,5,9
fake242,2,2,6,10
fake243,2,2,7,11
fake244,2,2,8,12
fake245,2,2,9,13
fake246,2,2,10,14
fake247,2,2,11,15
fake248,2,2,12,16
fake249,2,2,13,1
fake250,2,2,14,2
fake251,2,2,15,3
fake252,2,2,16,4
fake253,2,3,1,6
fake254,2,3,3,8
fake255,2,3,4,9
fake256,2,3,6,11
fake257,2,3,8,13
fake258,2,3,10,15
fake259,2,3,11,16
fake260,2,3,12,1
fake261,2,3,13,2
fake262,2,3,14,3
fake263,2,3,15,4
fake264,2,3,16,5
fake265,2,4,1,7
fake266,2,4,2,8
fake267,2,4,3,9
fake268,2,4,4,10
fake269,2,4,5,11
fake270,2,4,6,12
fake271,2,4,7,13
fake272,2,4,8,14
fake273,2,4,9,15
fake274,2,4,10,16
fake275,2,4,11,1
fake276,2,4,12,2
fake277,2,4,13,3
fake278,2,4,14,4
fake279,2,4,15,5
fake280,2,4,16,6
fake281,2,5,1,8
fake282,2,5,2,9
fake283,2,5,3,10
fake284,2,5,4,11
fake285,2,5,5,12
fake286,2,5,6,13
fake287,2,5,7,14
fake288,2,5,9,16
fake289,2,5,11,2
fake290,2,5,12,3
fake291,2,5,13,4
fake292,2,5,14,5
fake293,2,5,15,6
fake294,2,5,16,7
fake295,2,6,1,9
fake296,2,6,2,10
fake297,2,6,3,11
fake298,2,6,4,12
fake299,2,6,7,15
fake300,2,6,9,1
fake301,2,6,10,2
fake302,2,6,11,3
fake303,2,6,14,6
fake304,2,6,15,7
fake305,2,6,16,8
fake306,2,7,1,10
fake307,2,7,2,11
fake308,2,7,3,12
fake309,2,7,4,13
fake310,2,7,5,14
fake311,2,7,6,15
fake312,2,7,7,16
fake313,2,7,8,1
fake314,2,7,9,2
fake315,2,7,10,3
fake316,2,7,11,4
fake317,2,7,13,6
fake318,2,7,14,7
fake319,2,7,15,8
fake320,2,7,16,9
fake321,2,8,2,12
fake322,2,8,3,13
fake323,2,8,5,15
fake324,2,8,6,16
fake325,2,8,7,1
fake326,2,8,8,2
fake327,2,8,9,3
fake328,2,8,11,5
fake329,2,8,12,6
fake330,2,8,13,7
fake331,2,8,14,8
fake332,2,8,15,9
fake333,2,8,16,10
fake334,2,9,1,12
fake335,2,9,2,13
fake336,2,9,3,14
fake337,2,9,4,15
fake338,2,9,5,16
fake339,2,9,6,1
fake340,2,9,7,2
fake341,2,9,8,3
fake342,2,9,10,5
fake343,2,9,11,6
fake344,2,9,12,7
fake345,2,9,14,9
fake346,2,9,15,10
fake347,2,9,16,11
fake348,2,10,1,13
fake349,2,10,2,14
fake350,2,10,3,15
fake351,2,10,4,16
fake352,2,10,6,2
