ch,x,y,z,int
2,1229.0,1482.0,2.0,1365
2,1082.0,1292.0,2.0,1371
2,1615.0,1306.0,4.0,1378
2,929.0,1634.0,3.0,1403
2,923.0,1424.0,4.0,1376
2,1139.0,1522.0,4.0,1381
2,1272.0,1216.0,2.0,1220
2,1581.0,1288.0,9.0,1270
2,1503.0,1760.0,2.0,1367
2,711.0,661.0,10.0,1174
2,970.0,1996.0,4.0,1233
2,490.0,1085.0,3.0,1341
2,1116.0,822.0,4.0,1354
2,294.0,549.0,7.0,1364
2,1305.0,1581.0,5.0,1333
2,964.0,1884.0,5.0,1270
2,80.0,1230.0,5.0,1307
2,1136.0,1303.0,2.0,1297
2,1380.0,1512.0,6.0,1237
2,1429.0,2022.0,4.0,1202
2,1239.0,428.0,3.0,1367
2,1016.0,143.0,8.0,1275
2,1515.0,941.0,3.0,1302
2,781.0,1601.0,5.0,1234
2,1296.0,290.0,7.0,1281
2,925.0,356.0,3.0,1310
2,1457.0,441.0,3.0,1372
2,929.0,836.0,3.0,1303
2,1782.0,1802.0,2.0,1247
2,1259.0,1601.0,2.0,1167
2,1124.0,1733.0,4.0,1133
2,1581.0,1197.0,4.0,1128
2,1127.0,152.0,3.0,1255
2,1198.0,525.0,7.0,1233
2,1382.0,949.0,5.0,1346
2,2003.0,402.0,3.0,1275
2,1155.0,982.0,3.0,1299
2,589.0,1631.0,5.0,1288
2,1785.0,136.0,4.0,1140
2,939.0,1378.0,4.0,1213
2,963.0,1525.0,4.0,1081
2,530.0,1025.0,4.0,1305
2,206.0,955.0,3.0,1174
2,643.0,613.0,5.0,1336
2,1184.0,1582.0,3.0,1182
2,1820.0,1446.0,2.0,1448
2,1375.0,1947.0,4.0,1108
2,1301.0,1443.0,5.0,1208
2,910.0,682.0,2.0,1202
2,178.0,1400.0,5.0,1204
2,1133.0,1068.0,3.0,1304
2,997.0,1730.0,4.0,1195
2,1930.0,588.0,3.0,1130
2,639.0,971.0,6.0,1231
2,1365.0,92.0,7.0,1186
2,1043.0,382.0,3.0,1276
2,1404.0,328.0,3.0,1164
2,1698.0,625.0,2.0,1203
2,271.0,1938.0,5.0,1142
2,899.0,1982.0,4.0,1091
2,217.0,1983.0,4.0,1108
2,1132.0,479.0,2.0,1128
2,1634.0,1512.0,1.0,1039
2,1460.0,1893.0,2.0,1294
2,994.0,1571.0,4.0,1152
2,1379.0,868.0,5.0,1302
2,1800.0,352.0,4.0,1077
2,1276.0,513.0,6.0,1231
2,1324.0,845.0,3.0,1123
2,1022.0,61.0,4.0,1260
2,984.0,1244.0,5.0,1260
2,843.0,1229.0,3.0,1077
2,527.0,959.0,3.0,1224
2,1342.0,1035.0,2.0,1170
2,1688.0,562.0,8.0,1182
2,1452.0,1076.0,2.0,1288
2,298.0,743.0,3.0,1231
2,30.0,2003.0,4.0,1195
2,1627.0,743.0,4.0,1164
2,1770.0,1134.0,4.0,1150
2,754.0,428.0,3.0,1169
2,813.0,1625.0,5.0,1156
2,7.0,1322.0,3.0,1080
2,259.0,1745.0,4.0,1134
2,563.0,1113.0,4.0,1151
2,511.0,1302.0,2.0,1167
2,633.0,1068.0,6.0,1168
2,676.0,985.0,5.0,1287
2,606.0,465.0,3.0,1229
2,660.0,1796.0,2.0,1020
2,510.0,1502.0,4.0,1146
2,928.0,1393.0,7.0,1146
2,862.0,1641.0,4.0,1119
2,51.0,880.0,4.0,1141
2,1834.0,628.0,4.0,1183
2,1211.0,1567.0,6.0,1195
2,253.0,817.0,4.0,1150
2,100.0,1755.0,4.0,1109
2,1254.0,854.0,3.0,1239
2,1288.0,947.0,2.0,1203
2,1507.0,769.0,2.0,1178
2,676.0,1527.0,5.0,1007
2,820.0,1513.0,3.0,1085
2,693.0,1320.0,2.0,1112
2,23.0,1736.0,6.0,1054
2,785.0,1711.0,8.0,1190
2,844.0,1072.0,5.0,1164
2,1215.0,127.0,7.0,1078
2,810.0,1245.0,4.0,1150
2,1904.0,1606.0,11.0,1528
2,1638.0,1225.0,2.0,1043
2,461.0,406.0,3.0,1075
2,569.0,1342.0,4.0,1116
2,254.0,1442.0,3.0,1172
2,884.0,802.0,2.0,1125
2,651.0,1417.0,4.0,1174
