hyb,ch,x,y,z,int,sum_3x3_int_ch1
12,1,1245.0,1070.0,5.0,11883,114126
12,1,262.0,2022.0,7.0,11077,3039
12,1,936.0,401.0,5.0,12657,3357
12,1,1412.0,394.0,5.0,10551,5172
12,1,744.0,1493.0,5.0,11865,11809
12,1,852.0,242.0,5.0,11369,3271
12,1,1288.0,931.0,5.0,12222,8001
12,1,1515.0,1291.0,5.0,10490,45781
12,1,1264.0,1081.0,5.0,11145,59636
12,1,803.0,274.0,6.0,12305,2222
12,1,406.0,815.0,5.0,11900,3434
12,1,1846.0,1031.0,5.0,11221,91148
12,1,1616.0,1148.0,6.0,12296,2826
12,1,495.0,898.0,5.0,12068,6428
12,1,677.0,1759.0,5.0,11790,15584
12,1,845.0,757.0,5.0,11620,3608
12,1,1641.0,1163.0,7.0,11663,3203
12,1,11.0,945.0,6.0,10433,7946
12,1,389.0,1385.0,6.0,11347,2493
12,1,929.0,410.0,5.0,10633,3390
12,1,1628.0,1159.0,6.0,11958,2836
12,1,823.0,230.0,5.0,12188,3222
12,1,1081.0,347.0,10.0,10364,6570
12,1,991.0,657.0,5.0,11204,3281
12,1,1252.0,958.0,6.0,12577,3144
12,1,874.0,649.0,5.0,10505,3575
12,1,939.0,1025.0,4.0,11336,6384
12,1,351.0,1084.0,5.0,11397,11813
12,1,345.0,1502.0,8.0,12641,2358
12,1,1698.0,1328.0,5.0,12223,3425
12,1,379.0,1138.0,6.0,12773,2550
12,1,1739.0,471.0,12.0,10557,5834
12,1,888.0,899.0,5.0,11036,3505
12,1,1784.0,426.0,5.0,10943,4141
12,1,540.0,893.0,5.0,11576,20307
12,1,412.0,1095.0,6.0,11372,2501
12,1,1318.0,1094.0,5.0,11990,21885
12,1,175.0,1742.0,7.0,12004,72647
12,1,1539.0,1077.0,5.0,10927,6034
12,1,1307.0,656.0,5.0,11730,92479
12,1,279.0,930.0,6.0,11777,5051
12,1,1238.0,997.0,7.0,12633,2953
12,1,1318.0,662.0,5.0,11262,54021
12,1,410.0,1584.0,12.0,11381,81088
12,1,1100.0,1045.0,10.0,11835,7490
12,1,349.0,1134.0,6.0,11129,36086
12,1,1255.0,886.0,6.0,11905,23311
12,1,112.0,1601.0,6.0,11381,2306
12,1,666.0,1778.0,6.0,11603,5569
