geneID,x,y,z,intensity,seeds
Cers4,81,54.5,2.5,224.5,4
Cers4,130.666666666667,85,3,194.666666666667,3
Cers4,39.3333333333333,173,0,211.333333333333,3
Cers4,71.6666666666667,196,1.33333333333333,188.666666666667,3
Cers4,114,49,1,241,3
Cers4,38,3,1,252.333333333333,3
Cers4,28.25,97,1.25,206.75,4
Cers4,0,189.75,1.75,198.25,4
Cers4,17.3333333333333,94.1666666666667,1.83333333333333,206.5,6
Cers4,130,86.6666666666667,2,187,3
Cers4,186.5,170,2.5,208.25,4
Cers4,0,128.666666666667,1,167.666666666667,3
Cers4,100.8,192.8,0.4,209.6,5
Cers4,0,3.33333333333333,2.33333333333333,166,3
Cers4,91.8,167,2.6,193,5
Cers4,96,20,2,298.666666666667,3
Cers4,0,154,0,192,3
Cers4,137,21,2.6,256.2,5
Cers4,4,89,1,325.666666666667,3
Cers4,62,190,0.666666666666667,243,3
Cers4,81,85,0.666666666666667,181.666666666667,3
Cers4,93,93,2.75,268.25,4
Cers4,0,110.333333333333,1,189,3
Cers4,177,8,2,252,3
Cers4,86.3333333333333,4,0.333333333333333,193,3
Cers4,40,181.75,2.75,257.5,4
Cers4,164,76,0,259,3
Cers4,106,99,1,255.333333333333,3
Cers4,95.5,128.25,1.5,229.5,4
Cers4,117,159,2.75,288.5,4
Cers4,151,52,0.333333333333333,250.333333333333,3
Cers4,63.8,94,1.4,254.2,5
Cers4,89,198.333333333333,1,245.666666666667,3
Cers4,43,93,0,252,3
Cers4,79,197.333333333333,2,230.666666666667,3
Cers4,29,120,0,211,3
Cers4,74,152.333333333333,2,225.666666666667,3
Cers4,189.333333333333,120.333333333333,2,203,3
Cers4,68.2,137,2.6,262.4,5
Cers4,26.6666666666667,85.6666666666667,1,189.666666666667,3
Cers4,131,91,3,271,3
Cers4,29.3333333333333,0,0.666666666666667,194.333333333333,3
Cers4,50,45.6666666666667,2,185.333333333333,3
Cers4,58.3333333333333,97,0.333333333333333,213,3
Cers4,138,146.6,0.4,240.6,5
Cers4,28,135.666666666667,0.333333333333333,236.333333333333,3
Cers4,5,29.6666666666667,0.666666666666667,227.666666666667,3
Cers4,110.25,53,1.5,209.5,4
Cers4,149.25,177.75,0.25,237.25,4
Cers4,81,114.666666666667,0.333333333333333,207.666666666667,3
Cers4,0,20,2.33333333333333,204.333333333333,3
Cers4,22.3333333333333,134.666666666667,3,196.666666666667,3
Cers4,22,169.666666666667,2,200,3
Cers4,150.75,148.25,0.75,222.5,4
Cers4,116,45,3,209.333333333333,3
Cers4,155,119.666666666667,3,231.333333333333,3
Cers4,13,121,0,244.666666666667,3
