geneID,x,y,z,intensity,seeds
Cers6,112,62.5,2,217.5,2
Cers6,1,35,2,189.75,4
Cers6,0,23,2,158,1
Cers6,165,4,1,201,1
Cers6,155,199,0,200,1
Cers6,58.5,176,3,219,2
Cers6,19,9,0,181,1
Cers6,140,6.5,1,200,2
Cers6,68,87,2.5,207,2
Cers6,127,33,1,191,1
Cers6,42.5,113,0,198.5,2
Cers6,177,8,3,281.5,2
Cers6,124,45,2,197,1
Cers6,147,65.5,1,205,2
Cers6,21,174,2.33333333333333,250,3
Cers6,116,44,0,257.333333333333,3
Cers6,22,163,1.5,332.5,2
Cers6,181,86,3,223,1
Cers6,16.5,30,2,179.5,2
Cers6,17,94,3,239,1
Cers6,18,187.5,3,220.5,2
Cers6,135.5,164,3,219,2
Cers6,188.8,85.8,0.6,199.4,5
Cers6,74,165,3,202,2
Cers6,61,178,2,192,1
Cers6,75.5,143,1,214.5,2
Cers6,64,113,3,194,1
Cers6,118,6,1,275.333333333333,3
Cers6,166.5,152,3,199.5,2
Cers6,26,32.5,3,177.5,2
Cers6,88,176.5,1.25,245.75,4
Cers6,70.5,170,1,228.5,2
Cers6,31,0,2.33333333333333,182.333333333333,3
Cers6,129,60.5,2,195,2
Cers6,125,148,1,178,1
Cers6,33,62.2,2.4,277.8,5
Cers6,119,170,0,209,1
Cers6,124,0,1,191.5,2
Cers6,73,67,0,214,2
Cers6,30,23,2,209,2
Cers6,0,87.5,2,194.5,2
Cers6,104.333333333333,129,2.66666666666667,199,3
Cers6,21.5,104,0,189,2
Cers6,89.5,36,0,197,2
Cers6,54,41.5,1,204.5,2
