ch,x,y,z,int
2,1588,757,0,7061
2,1393,1589,0,7401
2,1999,1264,0,6279
2,561,818,0,6523
2,1405,1774,0,6398
2,120,811,0,6457
2,1880,1953,0,6316
2,915,649,0,6646
2,762,275,0,6099
2,1101,589,0,6517
2,1987,166,0,5771
2,1104,515,0,6252
2,1763,610,0,6168
2,857,1520,0,6288
2,978,1563,0,5902
2,1955,707,0,6121
2,1705,879,0,6267
2,1536,223,0,6470
2,1840,384,0,6396
2,1839,1285,0,6428
2,1794,1204,0,6168
2,406,854,0,5778
2,28,909,0,6457
2,525,781,0,5758
2,1132,1955,0,6054
2,911,1275,0,5624
2,1254,1846,0,5957
2,114,1296,0,5608
2,1840,1252,0,5661
2,1552,352,1,31078
2,1834,1919,1,31501
2,860,973,1,20431
2,343,1291,1,25024
2,294,927,1,21121
2,242,967,1,19560
2,488,301,1,16726
2,582,1826,1,15513
2,1057,956,1,21246
2,1336,497,1,16453
2,874,1976,1,18807
2,1534,1586,1,16747
2,1648,1306,1,17296
2,1261,1491,1,16867
2,1508,1373,1,14304
2,1975,1173,1,17029
2,1165,1416,1,18934
2,1109,414,1,13639
2,1120,109,1,16352
2,31,1080,1,65535
2,522,1415,1,18215
2,1255,1806,1,15846
2,1259,1886,1,16479
2,274,1241,1,15945
2,1290,520,1,15194
2,1546,1654,1,12660
2,559,1725,1,14132
2,1735,600,1,14551
2,1978,1768,1,13084
2,1935,1746,1,13682
2,713,1912,1,13595
2,1422,403,1,14168
2,1587,1723,1,14392
2,75,1478,1,12883
2,1797,1754,1,12837
2,1383,1637,1,11960
2,1727,1777,1,12830
2,1634,1349,1,11469
2,767,1532,1,12502
2,2036,1541,1,12847
2,124,693,1,12331
2,583,464,1,12796
2,1250,1917,1,12320
2,1315,758,1,12509
2,996,1004,1,12841
2,1015,1429,1,12642
2,1409,178,1,13189
2,1543,580,1,10620
2,206,156,1,11183
2,1920,1886,1,12389
2,667,949,1,10023
2,325,225,1,11691
2,1077,970,1,12010
2,150,864,1,11438
2,323,1224,1,11462
2,1704,1682,1,11744
2,1985,1821,1,11477
2,401,1314,1,10859
2,851,1766,1,11394
2,600,447,1,9712
2,804,2044,1,12560
2,491,103,1,11946
2,923,1771,1,10374
2,216,847,1,11702
2,478,309,1,12092
2,1449,1304,1,9934
2,132,772,1,11288
2,1697,1725,1,10084
2,749,1201,1,8794
2,375,334,1,11737
2,815,1485,1,10716
2,197,1139,1,11732
2,1955,1299,1,9034
2,2019,238,1,9649
2,1958,1464,1,10877
2,1745,2026,1,10206
2,796,1761,1,9665
2,324,1440,1,10520
2,1719,1856,1,10341
2,1593,1796,1,10433
2,446,1448,1,9804
2,1658,215,1,9535
2,74,1603,1,8824
2,129,1265,1,10349
2,1366,1646,1,10173
2,667,292,1,10057
2,1994,1191,1,9161
2,655,1556,1,8866
2,1278,356,1,7859
2,1720,1151,1,10771
2,1880,1954,1,9444
2,1773,2013,1,9061
2,823,1737,1,7688
2,1788,1166,1,8743
2,1315,1616,1,8633
